OPTION UNITS,MEASURE Seat_Back_Angle,MEASURE Outseam,MEASURE Inseam,MEASURE CROTCH_Height,MEASURE TrouserWAIST_Circ,MEASURE HIP_Circ,MEASURE Knee_Height,MEASURE Calf_Height,MEASURE Waist_Height_Back_EZ,MEASURE TrouserWaist_Height_Back,MEASURE CrotchLength_Back,MEASURE CrotchLength_Front,MEASURE Ankle_Circ,MEASURE Head_Top_Height,MEASURE Hip_Height,MEASURE NeckBase_Circ,MEASURE Bust_to_Bust,MEASURE Underbust_Circ,MEASURE BUST_Circ,MEASURE Across_Back,MEASURE Shoulder_to_Shoulder,MEASURE Neck_Circ,MEASURE Knee_Circ,MEASURE Calf_Circ,MEASURE Bicep_Circ,MEASURE Elbow_Circ,MEASURE Wrist_Circ,MEASURE Shoulder_to_Wrist,MEASURE Shoulder_Length,MEASURE SideNeck_to_Bust,MEASURE NeckSide_to_Wrist,MEASURE NECK_Height,MEASURE Thigh_Circ,MEASURE Across_Front,MEASURE Shoulder_to_floor_Right,MEASURE Shoulder_to_floor_Left,MEASURE TopHip_Circ,MEASURE TrouserWaist_Height_Front,MEASURE Bust_Height,MEASURE Torso_Height,MEASURE Istumakorkeus,MEASURE NaturalWAIST_Circ,MEASURE NaturalWaist_Height,MEASURE Thigh_Height,MEASURE Ankle_Height,MEASURE Shoulder_Width_ThruTheBody,MEASURE Overarm_Width_ThruTheBody,MEASURE Hip_2_Width_ThruTheBody,MEASURE Hip_2_Circ,MEASURE Hip_2_Height,filename
cm,14.8,106.8,81.7,81.1,89.6,100.6,31.5,46.4,108.4,107.9,34.1,29.7,27.95,175.5,91.1,37.1,12.1,82.5,92.0,36.0,43.4,34.9,37.4,34.6,30.6,23.6,15.7,61.9,12.8,32.9,74.7,152.3,52.2,37.7,144.8,146.6,97.1,103.8,124.6,71.3,28.5,81.9,109.6,4.0,72.7,35.8,44.3,40.8,100.1,81.6,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0020.txt
cm,16.8,95.0,75.1,74.1,84.5,93.7,30.0,43.2,96.9,96.3,28.3,24.7,23.64,162.4,83.6,34.3,21.0,82.4,97.1,34.6,39.1,32.4,34.5,32.9,29.0,22.3,15.3,55.9,12.8,28.8,68.7,140.6,50.4,36.4,134.1,135.1,88.5,92.2,118.1,66.5,26.6,83.0,100.7,4.0,66.1,34.3,38.4,36.3,95.3,74.1,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0021.txt
cm,24.6,102.3,75.9,74.7,84.8,105.0,30.0,43.4,104.4,104.0,38.9,31.6,23.20,161.5,84.2,35.0,19.6,82.7,96.3,35.5,39.8,34.3,39.2,34.1,30.5,24.5,13.4,53.9,13.3,29.4,67.2,142.7,60.9,38.3,137.0,137.0,100.1,99.0,119.2,68.0,27.2,84.5,101.9,4.0,67.3,34.5,42.4,42.1,107.8,75.2,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0022.txt
cm,24.9,91.8,73.3,71.1,94.2,107.5,28.5,41.3,95.0,94.2,33.1,25.7,23.87,156.1,79.1,37.8,20.7,82.4,96.6,37.1,39.5,35.0,36.5,35.4,30.8,23.1,14.9,53.5,11.6,25.2,65.1,138.1,59.9,36.1,132.4,133.6,96.4,88.8,116.6,67.0,26.8,84.0,97.9,3.5,62.7,34.7,40.9,42.7,109.9,72.1,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0023.txt
cm,27.6,98.0,78.7,77.5,87.7,102.6,29.0,43.5,100.4,99.9,32.6,24.2,25.55,166.2,86.5,38.5,19.3,77.7,86.3,31.8,39.5,36.7,38.2,36.5,31.4,25.2,15.5,57.2,11.6,30.0,68.9,146.0,59.1,36.9,140.5,140.2,90.9,95.2,120.5,68.5,27.4,77.1,104.9,4.0,69.2,33.7,40.9,40.4,106.1,80.0,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0024.txt
cm,25.0,95.9,77.6,76.6,86.4,97.0,29.0,43.3,98.5,97.7,30.7,22.1,25.61,166.6,86.1,33.5,22.9,80.9,97.9,32.4,39.3,30.6,37.2,36.6,28.9,23.9,15.2,53.3,14.9,32.6,68.3,148.4,59.3,42.3,141.4,142.9,88.4,93.4,123.1,71.8,28.7,77.1,105.3,3.5,68.5,35.7,41.9,38.8,102.6,76.6,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0025.txt
cm,23.0,98.7,75.0,73.8,85.2,107.8,29.0,42.4,100.4,99.7,37.3,30.5,27.50,154.3,81.8,33.3,18.8,80.1,93.1,36.2,40.7,31.5,42.9,40.8,32.6,27.0,15.7,53.3,13.1,29.4,66.4,138.5,65.1,36.0,132.3,131.3,102.7,95.2,112.8,64.8,25.9,80.5,99.7,4.0,66.0,34.9,41.8,43.2,111.5,73.8,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0026.txt
cm,26.0,90.2,69.8,68.6,94.0,99.7,27.0,39.5,93.6,93.5,34.0,26.6,23.93,154.3,79.6,36.1,20.7,85.7,98.6,34.8,41.1,34.0,37.4,36.9,29.2,22.6,15.0,51.3,12.3,25.1,63.7,135.8,54.4,38.3,129.3,129.8,97.6,87.5,114.1,67.3,26.9,90.4,95.5,3.0,60.1,34.9,41.9,38.4,98.7,70.6,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0027.txt
cm,17.1,113.4,92.6,91.5,89.3,100.8,36.5,53.0,115.0,114.7,32.6,25.5,29.23,184.0,101.0,38.7,15.6,88.2,93.2,36.3,40.8,34.2,40.0,38.5,27.9,24.9,16.6,64.8,12.5,27.8,77.3,164.0,57.8,38.3,156.5,157.3,92.6,110.7,138.5,72.5,29.0,80.6,120.5,4.5,82.4,36.0,43.9,41.1,103.8,91.5,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0028.txt
cm,18.9,98.4,81.0,80.0,87.5,96.1,30.5,45.4,100.8,100.5,29.4,23.3,23.47,164.3,87.5,35.6,21.8,83.5,91.7,33.4,40.5,32.7,37.6,33.5,29.0,23.6,15.3,57.0,13.4,28.1,70.3,148.8,53.9,39.1,142.0,142.5,87.6,96.0,124.5,68.8,27.5,76.0,107.5,4.0,71.9,35.2,41.9,38.2,98.2,80.5,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0029.txt
