OPTION UNITS,MEASURE HIP_Circ,MEASURE Seat_Back_Angle,MEASURE Calf_Left,MEASURE Calf_Right,MEASURE Across_Back,MEASURE NeckBase_Circ,MEASURE CHEST_Circ,MEASURE Neck_Circ,MEASURE TrouserWaist_Height_Back,MEASURE TrouserWAIST_Circ,MEASURE MaxWAIST_Circ,MEASURE Shoulder_to_Shoulder,MEASURE Across_Front,MEASURE CrotchLength_Front,MEASURE CrotchLength_Back,MEASURE Thigh_Circ,MEASURE Knee_Circ,MEASURE Calf_Circ,MEASURE Outseam,MEASURE Inseam,MEASURE Knee_Height,MEASURE Shoulder_Length,MEASURE Shoulder_to_Wrist,MEASURE Bicep_Circ,MEASURE Elbow_Circ,MEASURE Wrist_Circ,MEASURE Shoulder_Slope_Left,MEASURE Shoulder_Slope_Right,MEASURE Joints,MEASURE Landmarks,MEASURE CROTCH_Height,MEASURE Head_Top_Height,MEASURE NECK_Height,MEASURE MaxWaist_Height,MEASURE TrouserWaist_Height_Front,MEASURE Ankle_Girth_Left,MEASURE Ankle_Girth_Right,MEASURE Calf_Height,MEASURE Ankle_Height,MEASURE Ankle_Circ,MEASURE Thigh_Height,MEASURE Shoulder_Width_thruTheBody,MEASURE Hip_Width_ThruTheBody,MEASURE Overarm_Width_ThruTheBody,filename
cm,102.7,13.9,35.5,36.9,40.8,41.3,126.8,39.2,93.1,97.2,100.3,47.7,50.5,27.2,31.2,56.5,37.3,36.2,90.1,69.4,25.5,15.4,52.9,32.7,25.3,16.2,3.5,4.1,18.0,27.0,68.5,159.8,140.5,96.5,91.1,26.9,25.8,37.5,61.5,26.4,3.0,41.7,37.9,48.4,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0027.txt
cm,108.8,17.3,38.3,38.7,44.3,44.4,118.2,40.6,103.7,100.2,105.7,48.9,43.6,25.8,33.5,60.8,39.7,38.5,99.6,80.1,28.0,15.0,60.0,37.7,28.9,17.5,6.5,6.0,18.0,27.0,77.3,172.3,153.0,108.3,101.7,27.4,26.5,42.5,67.9,26.9,4.0,40.8,43.2,48.6,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0028.txt
cm,102.3,12.8,39.1,40.4,43.1,46.2,112.5,41.6,111.7,98.5,99.5,47.5,41.5,25.9,31.8,58.9,40.1,39.8,108.7,89.6,36.0,13.0,67.0,35.6,28.0,17.1,6.5,6.5,18.0,27.0,88.7,183.0,164.7,112.2,109.7,25.6,27.3,51.5,80.3,26.4,4.0,39.4,40.1,50.5,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0029.txt
cm,100.1,20.3,36.8,37.1,34.8,38.7,96.4,35.4,101.6,87.1,89.7,44.0,40.4,24.9,32.0,55.2,38.8,37.0,98.7,78.0,30.0,15.4,57.5,30.5,26.2,17.5,6.4,6.2,18.0,27.0,77.2,170.5,152.7,101.7,99.6,25.2,25.9,42.0,67.6,25.6,4.0,38.1,39.3,42.8,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0030.txt
cm,100.7,19.3,37.1,37.7,39.8,39.1,107.3,36.4,108.7,90.3,84.7,44.7,42.0,29.1,36.4,59.5,37.8,37.4,105.5,82.8,31.5,15.4,60.6,33.0,26.8,18.2,4.8,4.9,18.0,27.0,81.8,175.0,158.1,116.8,106.7,26.9,27.6,44.5,72.8,27.3,4.0,39.9,39.8,47.6,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0031.txt
cm,106.4,21.8,39.0,40.2,48.8,45.1,113.9,42.5,112.1,101.5,104.7,48.2,41.5,27.0,39.0,61.2,39.8,39.6,107.8,85.5,30.5,14.1,64.5,35.0,28.8,17.9,4.5,4.6,18.0,27.0,84.4,182.9,165.9,116.9,110.1,27.0,28.9,46.5,74.9,27.9,4.0,40.9,41.4,52.4,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0032.txt
cm,101.5,9.7,38.3,38.7,39.7,41.6,106.2,37.5,110.2,102.1,103.4,46.5,45.5,28.7,33.4,56.0,39.9,38.5,106.8,85.4,30.0,13.9,63.7,32.6,27.5,18.5,5.0,5.8,18.0,27.0,83.5,184.2,164.3,111.0,108.2,28.4,28.3,47.5,74.0,28.4,4.5,39.0,40.1,49.2,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0033.txt
cm,104.4,18.7,45.2,42.2,39.7,41.4,105.8,38.8,107.1,96.1,99.4,44.8,42.1,26.2,31.8,59.0,40.8,43.7,104.4,84.7,32.0,13.9,61.9,31.4,26.7,17.1,4.4,4.3,18.0,27.0,83.6,174.9,156.9,107.6,105.1,27.3,29.9,49.0,75.0,28.6,4.0,38.6,39.3,48.2,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0034.txt
cm,97.3,17.3,38.8,38.5,42.6,41.6,107.6,38.2,108.2,89.8,89.8,49.8,39.8,27.8,34.9,54.8,37.2,38.7,105.4,83.0,31.0,14.7,63.6,33.7,26.8,17.4,6.8,7.7,18.0,27.0,81.8,175.0,154.1,107.8,106.2,27.3,28.3,46.5,72.8,27.8,4.5,38.6,38.7,45.9,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0035.txt
cm,101.4,16.3,36.4,38.1,42.9,40.8,109.0,38.3,106.9,92.0,91.1,44.3,39.6,29.2,35.9,56.0,36.9,37.2,104.2,79.8,27.0,16.0,61.2,32.9,26.3,16.9,6.7,7.1,18.0,27.0,79.0,167.2,156.8,118.1,106.7,26.3,25.9,42.5,69.4,26.1,4.0,37.8,39.8,46.7,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0036.txt
cm,89.5,15.7,33.1,34.6,31.7,39.6,93.7,36.3,96.9,76.7,75.4,40.5,38.3,23.6,29.8,49.8,33.2,33.8,94.2,74.2,28.0,13.6,54.3,28.7,23.2,15.3,6.9,7.0,18.0,27.0,73.2,159.3,141.9,106.2,96.1,23.3,24.5,41.5,65.2,23.9,4.0,35.4,35.4,38.7,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0037.txt
cm,112.9,21.4,42.0,42.6,37.2,44.3,104.4,41.2,100.0,99.8,104.2,45.4,39.0,25.2,34.7,63.9,38.7,42.3,97.3,77.5,29.0,13.7,58.5,36.0,28.9,17.3,5.3,4.8,18.0,27.0,76.4,169.2,151.6,103.9,98.0,27.3,27.6,43.5,68.2,27.4,4.0,38.6,43.9,47.2,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0038.txt
cm,103.0,14.5,38.8,39.4,41.4,42.9,103.3,39.4,102.8,87.8,88.4,44.4,38.8,27.5,33.7,58.6,37.0,39.1,100.4,78.8,30.5,13.4,60.5,32.5,26.8,16.8,5.8,5.5,18.0,27.0,77.7,171.4,150.7,103.7,100.8,25.8,27.7,44.5,69.2,26.7,3.5,37.9,41.0,48.2,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0039.txt
cm,101.7,24.6,38.1,37.7,39.1,41.1,103.3,36.4,109.5,89.8,85.9,41.6,38.8,26.4,33.3,60.7,38.8,37.9,106.6,85.9,32.0,12.5,62.0,32.8,28.0,18.0,6.5,6.3,18.0,27.0,85.0,178.2,160.0,117.5,107.5,27.0,26.6,46.0,76.2,26.8,4.0,35.5,38.7,43.8,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0040.txt
cm,102.0,19.9,35.6,36.0,41.1,43.4,99.6,38.9,111.5,88.9,77.9,45.5,40.9,25.8,32.2,56.6,39.1,35.8,108.7,89.4,35.0,13.7,65.1,30.6,27.5,17.4,1.9,2.8,18.0,27.0,88.5,185.3,166.5,123.0,110.3,27.4,26.7,49.0,78.9,27.1,4.0,40.6,39.4,48.9,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0041.txt
cm,101.3,21.6,36.4,35.3,39.1,42.5,107.8,38.8,100.7,91.3,88.2,43.2,43.0,27.9,34.8,55.5,38.7,35.9,97.7,75.6,28.5,12.9,58.4,31.3,27.5,17.6,4.6,4.8,18.0,27.0,74.6,167.6,147.6,110.1,99.0,27.2,26.2,40.5,65.6,26.7,3.5,37.7,38.3,46.4,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0042.txt
cm,92.8,19.5,34.3,34.3,40.6,38.5,102.1,36.3,110.1,84.4,85.6,45.6,39.3,25.4,33.2,50.9,35.5,34.3,107.4,84.6,32.0,15.1,64.1,33.4,27.6,17.9,6.6,6.6,18.0,27.0,84.1,174.8,155.6,109.1,108.1,26.2,26.9,47.0,75.5,26.5,4.5,37.5,37.4,45.8,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0043.txt
cm,103.7,19.8,38.5,39.3,47.3,47.8,118.3,45.1,99.6,101.3,110.8,49.1,42.8,27.4,37.4,58.0,39.2,38.9,95.1,72.3,24.0,14.9,57.8,33.7,27.9,17.8,5.5,6.7,18.0,27.0,71.6,168.6,148.6,105.1,97.6,26.3,26.3,38.0,61.5,26.3,4.0,40.8,38.0,50.9,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0044.txt
cm,110.6,16.3,41.8,42.1,45.9,46.3,114.0,42.3,106.7,102.5,107.7,49.2,43.1,26.2,34.8,61.9,40.4,42.0,103.0,80.2,29.0,14.9,62.9,36.8,29.4,18.2,3.4,5.1,18.0,27.0,79.6,172.8,157.1,111.1,104.7,28.7,28.7,45.5,69.9,28.7,3.5,42.8,42.8,54.2,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0045.txt
cm,94.6,16.8,37.8,38.3,39.2,40.9,94.4,37.7,107.2,84.5,84.1,46.3,38.9,25.6,31.1,55.3,37.7,38.1,104.2,82.8,31.0,13.8,64.6,29.5,24.8,16.8,5.6,5.2,18.0,27.0,81.9,176.4,155.9,108.4,105.2,25.2,27.4,45.0,73.0,26.3,4.0,39.0,38.7,45.5,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0046.txt
cm,101.7,10.8,37.7,38.5,34.5,42.2,100.4,36.6,107.7,92.3,88.7,43.3,41.9,27.0,35.3,57.0,39.2,38.1,104.5,83.0,31.0,13.5,64.0,32.4,28.1,19.6,6.9,6.6,18.0,27.0,82.4,177.0,156.6,112.9,107.5,28.6,28.6,45.0,73.3,28.6,4.0,37.9,39.5,45.0,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0047.txt
cm,108.8,23.0,47.1,46.2,41.5,45.9,111.5,41.0,113.7,101.0,107.9,50.0,43.9,28.4,36.0,65.5,44.7,46.6,110.6,88.6,33.0,15.5,64.2,35.6,28.6,19.1,6.2,6.6,18.0,27.0,88.0,182.0,166.5,120.0,111.7,34.1,33.7,50.0,78.9,33.9,4.0,41.9,39.1,50.1,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0048.txt
cm,93.5,20.0,34.8,35.6,38.6,39.9,102.3,38.0,101.5,83.7,86.0,43.9,40.1,23.6,31.7,52.4,37.6,35.2,98.7,79.5,29.0,14.1,58.4,30.5,26.0,16.8,5.6,5.6,18.0,27.0,78.5,168.7,150.2,103.0,99.5,23.3,26.0,43.0,69.1,24.7,4.0,37.6,37.0,44.8,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0049.txt
